operator_code,fleet_prefix,listed_bus_count,model_names,across_record_ids
KMB,AVBWU,967,KMB Training Fleet | KMB Volvo B9TL (Euro 5) Wright Body (AVBWU),33|307
KMB,E5T,876,"KMB Alexander Dennis Enviro 500 MMC 12m (ATENU,E5T)",331
KMB,TW,850,"KMB Alexander Dennis Enviro 500 MMC 12m (New Facelift) (ATENU,TW)",366
KMB,AV,701,KMB Training Fleet | KMB Volvo Olympian 11m (A/C) (AV),33|28
KMB,ATR,666,KMB Dennis Trident 12m (ATR) | KMB Training Fleet,22|33
KMB,S3BL,642,KMB Leyland Olympian 11m (S3BL) | KMB Training Fleet,40|33
KMB,G,545,KMB Guy Victory Mk J (G) | KMB Leyland Victory Mk II (G),182|183
KMB,AD,530,KMB Dennis Dragon 11m (A/C) (AD) | KMB Training Fleet,25|33
KMB,3AV,518,KMB Training Fleet | KMB Volvo Olympian 12m (A/C) (3AV),33|24
KMB,3ASV,493,KMB Volvo Super Olympian 12m (Alexander Body/Volgren Body) (3ASV),3
KMB,S3N,372,KMB Dennis Dragon 11m (S3N),42
KMB,N,364,KMB Dennis Jubilant (N),184
KMB,3N,361,KMB Dennis Dragon 12m (3N) | KMB Training Fleet,39|33
KMB,AM,354,KMB Mitsubishi Mk117/217/218 (AM) | KMB Training Fleet,30|33
KMB,AL,320,KMB Leyland Olympian 11m (A/C) (AL) | KMB Training Fleet,26|33
KMB,L,313,KMB Albion Chieftain (L) | KMB Albion Victor (L) | KMB Albion Viking (L) | KMB Albion Viking EVK41L (L),242|125|238|239
KMB,E6X,311,KMB ADL Enviro 500 MMC 12.8m (Euro 6) (E6X),406
KMB,BL,293,KMB Leyland Olympian 9.7m/10.3m (BL) | KMB Training Fleet,46|33
KMB,ATE,272,KMB TransBus Enviro 500 (ATE),1
KMB,S3M,255,KMB MCW Metrobus 11m (S3M),41
KMB,V6B,243,"KMB Volvo B8L (MCV Body) (AVBML,V6B) | KMB Volvo B8L 12m (Wright Body) (AVBWL,V6B,V6P)",405|390
KMB,AA,241,KMB Dennis Dart/ Dart SLF (AA) | KMB Training Fleet,31|33
KMB,AVC,240,KMB Training Fleet | KMB Volvo B7RLE (AVC),33|308
KMB,ADS,235,KMB Dennis Dragon 9.9m (ADS),29
KMB,ATEU,233,KMB Alexander Dennis Enviro 500 (Euro IV/ Euro V) (ATEU) | KMB Training Fleet,268|33
KMB,3ATENU,224,"KMB Alexander Dennis Enviro 500 MMC 12.8m (3ATENU,E5L)",342
KMB,3ATENUW,224,"KMB Alexander Dennis Enviro 500 MMC 12.8m (3ATENU,E5L)",342
KMB,E5L,224,"KMB Alexander Dennis Enviro 500 MMC 12.8m (3ATENU,E5L)",342
KMB,AVBWL,212,"KMB Volvo B8L 12m (Wright Body) (AVBWL,V6B,V6P)",390
KMB,V6P,212,"KMB Volvo B8L 12m (Wright Body) (AVBWL,V6B,V6P)",390
KMB,ATEE,211,KMB Alexander Dennis Enviro 500 (Euro V) (ATEE) | KMB Training Fleet,295|33
KMB,A,210,KMB AEC Regent Mk V (A),134
KMB,ASC,199,KMB Scania K230UB 12m (ASC) | KMB Training Fleet,298|33
KMB,V6PX,184,"KMB Volvo B8L 12.8m (V6PX,V6X)",414
KMB,V6X,184,"KMB Volvo B8L 12.8m (V6PX,V6X)",414
KMB,3M,173,KMB MCW Metrobus 12m (3M) | KMB Training Fleet,45|33
KMB,3AD,170,KMB Dennis Dragon 12m (A/C) (3AD),23
KMB,3BL,163,KMB Leyland Olympian 12m (3BL),38
KMB,AP,163,KMB Mitsubishi MP618N (AP) | KMB Neoplan Centroliner N4026/N4426 (AP),37|19
KMB,E6M,151,KMB ADL Enviro 500 MMC 11.3m (E6M),413
KMB,ATS,150,KMB Dennis Trident 10.6m (ATS),18
KMB,2D,107,KMB Daimler Fleetline (2D),137
KMB,ASV,100,KMB Volvo Super Olympian 10.6m (ASV),21
KMB,AVW,100,KMB Volvo Super Olympian (Wright Explorer Body) (AVW),2
KMB,CA,100,KMB Albion Viking EVK55CL (CA),236
KMB,AVBE,96,KMB Volvo B9TL(Enviro 500 Body) (AVBE),264
KMB,S,93,KMB Seddon Pennine 4 (S),126
KMB,AT,91,KMB Toyota Coaster (AT),36
KMB,M,88,KMB MCW Metrobus 9.7m (M),44
KMB,2L,74,KMB Leyland Atlantean PDR1/1 (2L) | KMB Leyland Titan PD3/5 (2L),136|135
KMB,AVBW,64,KMB Volvo B9TL(Wright Gemini Body) (AVBW),263
KMB,ATSE,51,KMB Enviro 400 (ATSE),305
KMB,AMN,47,KMB MAN 24.310 (AMN),4
KMB,BED,42,KMB BYD B12D (BED),427
KMB,AAS,41,"KMB Alexander Dennis Enviro 200 Dart (AAS,AAU)",316
KMB,AAU,41,"KMB Alexander Dennis Enviro 200 Dart (AAS,AAU)",316
KMB,ME,41,KMB Mercedes Benz O305 (ME),48
KMB,DM,40,KMB Dennis Dominator (DM),47
KMB,AF,39,"KMB Dennis Falcon (AF,FD)",32
KMB,FD,39,"KMB Dennis Falcon (AF,FD)",32
KMB,AVBML,31,"KMB Volvo B8L (MCV Body) (AVBML,V6B)",405
KMB,S3V,30,KMB Volvo Olympian 11m (S3V),43
KMB,2A,28,KMB AEC Regent V (2A),245
KMB,AH,25,KMB Hino RK176K (AH),34
KMB,AN,24,KMB Dennis Lance (AN),35
KMB,AMNE,22,"KMB MAN A95 (AMNE,AMNF)",361
KMB,AMNF,22,"KMB MAN A95 (AMNE,AMNF)",361
KMB,AS,22,KMB Scania N113 (AS),27
KMB,ASU,22,KMB Scania K310UD (ASU),274
KMB,ASB,20,KMB Scania K230UB (10.6m) (ASB),296
KMB,BEB,16,KMB BYD B12A (BEB),421
KMB,BDE,15,"KMB BYD K9A/K9R (BDE,BE)",328
KMB,BE,15,"KMB BYD K9A/K9R (BDE,BE)",328
KMB,AED,10,KMB ADL E500EV (AED),432
KMB,AYM,8,KMB Youngman JNP6122UC (AYM),362
KMB,M6EX,7,"KMB MAN A95 12.8m (M6EX,M6FX)",423
KMB,M6FX,7,"KMB MAN A95 12.8m (M6EX,M6FX)",423
KMB,ATH,3,KMB Alexander Dennis Enviro 500 Hybrid (ATH),346
KMB,AVG,3,KMB Volvo B9TL (Gemilang Body) (AVG),401
KMB,3AVBWU,2,KMB Volvo B9TL 12.8m (3AVBWU),344
KMB,AMR,2,KMB Metrorider (AMR),244
KMB,ASUD,2,KMB Scania K280UD (ASUD),353
KMB,AVD,2,KMB Volvo B9TL(Volgren Demo) (AVD),138
KMB,CB,2,KMB Bedford YRQ (CB),237
KMB,E6T,2,KMB ADL Enviro 500 MMC 12m (Euro 6) (E6T),396
KMB,AMC,1,KMB VDL DB300 (AMC),345
KMB,APM,1,KMB Neoman A34 (APM),20
KMB,ASCU,1,KMB Scania K230UB 12m (Euro 5) (ASCU),304
KMB,AVBWS,1,KMB Volvo B9TL 10.4m (2-axle) (AVBWS),313
KMB,AYT,1,KMB Yutong ZK6128HG1 (AYT),350
KMB,VMD,1,KMB Volvo B10MD (VMD),210
KMB,W6S,1,KMB Wrightbus StreetDeck (W6S),407
LWB,,353,"LWB ADL Enviro 500 MMC (95) | LWB ADL Enviro 500 MMC Coach Version (55,65) | LWB Alexander Dennis Enviro 500 (Coach Version) (6,64) | LWB Alexander Dennis Enviro 500 12.8m (25) | LWB Alexander Dennis Enviro 500 12.8m Coach (15) | LWB Dennis Lance (9) | LWB Dennis Trident 12m (ALX Body) (1,2) | LWB Dennis Trident 12m Coach (ALX Body) (5) | LWB Volvo B9TL Coach (4)",336|356|269|393|380|114|111|113|76
LWB,UE6X,90,LWB ADL Enviro 500 MMC 12.8m (Euro 6) (UE6X),416
LWB,ATEU,78,"LWB Alexander Dennis Enviro 500 (8,84)",266
LWB,UV6X,75,LWB Volvo B8L 12.8m (UV6X),417
LWB,AE6X,20,LWB ADL Enviro 500 MMC Coach (Euro 6) (AE6X),437
LWB,AVBE,18,LWB Volvo B9TL (7),81
LWB,AV6B,10,LWB Volvo B8L 12m Coach (AV6B),443
LWB,LW,10,LWB Volvo Olympian 12m (LW),9
LWB,ATR,4,LWB Dennis Trident 12m (Duple Metsec Body) (3),112
LWB,SE,4,LWB BYD K9R (SE),389
LWB,AV6X,3,LWB Volvo B8L 12.8m Coach (AV6X),435
MTR,,316,MTR Alexander Dennis Enviro 200 Dart (9) | MTR Alexander Dennis Enviro 500 11.3m (8) | MTR Alexander Dennis Enviro 500 12m (8) | MTR Alexander Dennis Enviro 500 MMC 11.3m (5) | MTR Alexander Dennis Enviro 500 MMC 12m | MTR Dennis Dart (5) | MTR Dennis Trident (2nd hand) (7) | MTR Dennis Trident 11.3m (6) | MTR Enviro 400 (1) | MTR Leyland Olympian 11m (2) | MTR Mitsubishi Mk218 (3) | MTR Volvo B10M (4) | MTR Volvo B9TL (3) | MTR Volvo Olympian 11m (2),291|323|278|334|418|282|284|283|321|279|281|285|375|280
MTR,Z,34,MTR ADL E500EV (Z),434
NHKB,,69,NHKB Dennis Dart | NHKB Hino Coach | NHKB MAN 18.320 | NHKB MAN NL-263 | NHKB MAN NL323 | NHKB Scania L94UB | NHKB Volvo B7RLE,106|265|315|105|330|107|108
NLB,MN,141,NLB MAN 18.310 (MN) | NLB MAN LE 19.320 (MN) | NLB MAN NL-262 (MN) | NLB MAN NL-263 (MN) | NLB MAN NL-273 (MN) | NLB MAN R33 (MN) | NLB MAN RR2 (MN) | NLB MAN RR8 (MN) | NLB Man A91 (MN),70|365|262|205|286|387|431|430|60
NLB,ILS,139,"NLB ISUZU JCR460 (ILS) | NLB ISUZU LT132L (ILS) | NLB ISUZU LT133L (ILS) | NLB ISUZU LV423R (ILS) | NLB ISUZU MT112K, MT112L (ILS)",202|271|272|273|270
NLB,MD,44,"NLB MAN A95 (MD,MDR)",370
NLB,MDR,44,"NLB MAN A95 (MD,MDR)",370
NLB,YM,24,NLB YoungMan JNP6122GR1 (YM),310
NLB,,23,NLB Benz Bus Fleet (BENZ) | NLB Commer KCB3023 | NLB MAN 24.350 | NLB Volvo B8L 12m,203|234|261|449
