operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
Citybus,,"Citybus Volvo Olympian 12m (3,4,5,6)",67,336,https://1005.idv.hk/index.php?page=11&p=67
Citybus,,Citybus Volvo Olympian 12m Coach (2nd hand) (3),66,2,https://1005.idv.hk/index.php?page=11&p=66
Citybus,,Citybus Volvo Super Olympian 12m (2),402,21,https://1005.idv.hk/index.php?page=11&p=402
Citybus,,Citybus Yixing Great Dragon SDL6120EVG (15),378,3,https://1005.idv.hk/index.php?page=11&p=378
Citybus,,Citybus Youngman JNP6105GR (18),322,16,https://1005.idv.hk/index.php?page=11&p=322
Citybus,,Citybus Youngman JNP6120GR (18),357,16,https://1005.idv.hk/index.php?page=11&p=357
Citybus,A,"Citybus Leyland Atlantean AN68 (6,A6)",115,101,https://1005.idv.hk/index.php?page=11&p=115
Citybus,B,Citybus Bristol Lodekka (B),188,1,https://1005.idv.hk/index.php?page=11&p=188
Citybus,D,Citybus Daimler Fleetline,187,2,https://1005.idv.hk/index.php?page=11&p=187
Citybus,D,Citybus Daimler Fleetline,189,23,https://1005.idv.hk/index.php?page=11&p=189
Citybus,D,Citybus Daimler Fleetline (D),186,21,https://1005.idv.hk/index.php?page=11&p=186
Citybus,L,Citybus Daimler Fleetline,187,2,https://1005.idv.hk/index.php?page=11&p=187
Citybus,L,Citybus Daimler Fleetline,192,3,https://1005.idv.hk/index.php?page=11&p=192
Citybus,L,Citybus Daimler Fleetline (D),186,21,https://1005.idv.hk/index.php?page=11&p=186
Citybus,L,Citybus Leyland Atlantean,190,1,https://1005.idv.hk/index.php?page=11&p=190
Citybus,T,Citybus Training Fleet (T),91,12,https://1005.idv.hk/index.php?page=11&p=91
Citybus,V,Citybus Ailsa Volvo B55 (V),252,1,https://1005.idv.hk/index.php?page=11&p=252
Citybus,VA,Citybus Volvo Olympian (Temporary Bus Fleet) (VA),216,5,https://1005.idv.hk/index.php?page=11&p=216
DBTSL,DBAY,DBTSL CRRC CSR6780KLEV1R,450,2,https://1005.idv.hk/index.php?page=11&p=450
DBTSL,DBAY,DBTSL Daewoo BH117L,388,2,https://1005.idv.hk/index.php?page=11&p=388
DBTSL,DBAY,DBTSL Dennis Dart SLF,201,10,https://1005.idv.hk/index.php?page=11&p=201
DBTSL,DBAY,DBTSL Enviro 200,340,7,https://1005.idv.hk/index.php?page=11&p=340
DBTSL,DBAY,DBTSL Guangtong GTK6125R6D,448,2,https://1005.idv.hk/index.php?page=11&p=448
DBTSL,DBAY,DBTSL Guangtong GTK6129BEVB,445,1,https://1005.idv.hk/index.php?page=11&p=445
